"DocCount","DocUuid","DocDoi","DocArticleUuid","BibYear","BibSource","BibVolume","BibIssue","BibFirstPage","BibLastPage","CitTreatCitCount","CitFigCitCount","CitTabCitCount"
"1","039CAA64604AFFC2FF633EC9D534FB45","http://doi.org/10.5281/zenodo.4582304","FFA5D21C6059FFD7FFF43E5ED642FFAC","2021","Zootaxa","4938","3","270","272","2","6","1"
"1","03BD87E66A6EFED4AF89FC08FD103EE9","http://doi.org/10.5281/zenodo.4534827","FF84FF9E6B61FFC5AF1EF86AFFDE3D4C","2021","Zootaxa","4922","1","272","274","3","4","1"
"1","039CAA646042FFCBFF633A60D241FCB9","http://doi.org/10.5281/zenodo.4582314","FFA5D21C6059FFD7FFF43E5ED642FFAC","2021","Zootaxa","4938","3","278","279","2","9","2"
"1","039CAA64607FFFFDFF633CA4D24AFE59","http://doi.org/10.5281/zenodo.4582323","FFA5D21C6059FFD7FFF43E5ED642FFAC","2021","Zootaxa","4938","3","289","293","3","10","2"
"1","03DBDB11C177FFBDFF54FB48FA0FB2D5","http://doi.org/10.5281/zenodo.4710356","FFE2A369C174FFBBFFC3FFE3FF93B443","2021","Zootaxa","4958","1","290","293","4","24","3"
"1","45376A353254B04CFF7CFD81234FF84E","http://doi.org/10.5281/zenodo.4545870","B90E124D3257B041FFEBFFC62223FF9D","2021","Zootaxa","4926","3","304","314","10","8","2"
"1","03BD87E66A56FEFFAF89F9AFFD103CE1","http://doi.org/10.5281/zenodo.4537839","FF84FF9E6B61FFC5AF1EF86AFFDE3D4C","2021","Zootaxa","4922","1","312","315","5","3","1"
"1","45376A353259B054FF7CFEE121FBFE4F","http://doi.org/10.5281/zenodo.4545874","B90E124D3257B041FFEBFFC62223FF9D","2021","Zootaxa","4926","3","315","322","46","2","1"
"1","03BD87E66A5AFEF8AF89FB28FD103E11","http://doi.org/10.5281/zenodo.4534914","FF84FF9E6B61FFC5AF1EF86AFFDE3D4C","2021","Zootaxa","4922","1","316","318","5","4","1"
"1","03BD87E66A5CFEFBAF89FC7AFD103E11","http://doi.org/10.5281/zenodo.4534930","FF84FF9E6B61FFC5AF1EF86AFFDE3D4C","2021","Zootaxa","4922","1","318","319","3","3","1"
"1","03DB87830E45FF8FFF6B633FEB7D74BF","http://doi.org/10.5281/zenodo.4619200","FFE2FFFB0E54FF9CFFFC6218E9117445","2021","Zootaxa","4942","3","318","320","5","4","4"
"1","03BD87E66A5FFEFAAF89FBC4FD58393B","http://doi.org/10.5281/zenodo.4534936","FF84FF9E6B61FFC5AF1EF86AFFDE3D4C","2021","Zootaxa","4922","1","319","320","6","4","1"
